,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,Rp_ew_cc,Rp_ew_fi,Rp_vw_cc,Rp_vw_fi
23/03/1992,-0.29,0.02,-0.14,0.2,-0.14,0.015,-0.16,0.09,0.000607359,0.00071454,NaN,NaN
24/03/1992,-0.28,-0.13,-0.03,0.28,0.01,0.015,0.3,0.11,0.001104488,0.001299397,NaN,NaN
25/03/1992,-0.14,0.28,0.05,-0.06,0.08,0.015,0.25,0.24,-0.005051023,-0.00594238,NaN,NaN
26/03/1992,-0.11,-0.35,0.3,0.09,0.32,0.015,-0.24,0.11,0.000704583,0.000828921,NaN,NaN
27/03/1992,-1.09,-0.03,0.1,0.14,0.1,0.015,-0.4,-0.03,0.001012048,0.001190645,NaN,NaN
30/03/1992,-0.21,-0.35,0.39,-0.06,0.32,0.015,-0.16,0.04,-0.000174116,-0.000204842,NaN,NaN
31/03/1992,0.12,0.22,0.1,0.03,0.12,0.015,0.03,0.54,0.00354262,0.004167788,NaN,NaN
01/04/1992,0.02,-0.58,-0.25,0.39,-0.29,0.015,0.37,0.16,0.000123549,0.000145351,NaN,NaN
02/04/1992,-1,0.07,0.17,0.13,0.13,0.015,-0.06,-0.42,-0.001664852,-0.001958649,NaN,NaN
03/04/1992,0,-0.67,-0.39,0.44,-0.31,0.015,-0.58,-0.29,0.002471569,0.002907729,NaN,NaN
06/04/1992,0.91,-0.58,-0.01,0.06,-0.14,0.015,-0.36,0.8,-0.002070734,-0.002436157,NaN,NaN
07/04/1992,-1.83,-0.16,0.84,-0.12,0.37,0.015,-0.61,-0.35,0.000367389,0.000432222,NaN,NaN
08/04/1992,-1.08,-0.5,0.19,0.26,-0.51,0.015,-0.63,-0.16,0.000620218,0.000775273,NaN,NaN
09/04/1992,1.63,0.11,-0.68,0.1,-0.08,0.015,1.45,1.75,-0.000136943,-0.000171179,NaN,NaN
10/04/1992,0.73,-0.19,0.21,0.02,0.23,0.015,0.29,-0.27,0.000978208,0.00122276,NaN,NaN
13/04/1992,0.45,-0.36,-0.17,0.47,0,0.015,0.28,0.14,-0.00426124,-0.005326549,NaN,NaN
14/04/1992,1.39,-0.55,0.52,0.22,0.28,0.015,0.42,0.37,0.003336127,0.004170158,NaN,NaN
15/04/1992,0.82,-0.49,0.33,0.26,0.08,0.015,0.13,0.38,0.000280556,0.000350695,NaN,NaN
16/04/1992,-0.31,-0.68,1.37,-0.31,0.45,0.015,-0.8,-0.51,-0.004601639,-0.005752049,NaN,NaN
20/04/1992,-1.52,-0.36,1.18,0.04,0.43,0.015,-0.89,-1.3,-0.002250412,-0.002813015,NaN,NaN
21/04/1992,-0.13,-0.32,0.58,0.05,0.37,0.015,-0.08,-0.17,-0.000659194,-0.000823992,NaN,NaN
